;symbol;priceChange;priceChangePercent;weightedAvgPrice;prevClosePrice;lastPrice;lastQty;bidPrice;bidQty;askPrice;askQty;openPrice;highPrice;lowPrice;volume;quoteVolume;openTime;closeTime;firstId;lastId;count;base;quot
87;ARKBTC;-0.00000001;-0.051;0.00001978;0.00001980;0.00001969;87.00000000;0.00001966;236.00000000;0.00001978;1700.00000000;0.00001970;0.00001994;0.00001961;155270.00000000;3.07082006;1578137256276;1578223656276;5348954;5349547;594;ARK;BTC
88;ARKETH;-0.00000300;-0.276;0.00108374;0.00108000;0.00108300;114.24000000;0.00108200;799.39000000;0.00109100;19.97000000;0.00108600;0.00110400;0.00107200;13604.96000000;14.74423239;1578136989621;1578223389621;1307063;1307300;238;ARK;ETH
89;YOYOETH;-0.00000142;-1.758;0.00007956;0.00008077;0.00007935;77.00000000;0.00007823;7904.00000000;0.00007934;2358.00000000;0.00008077;0.00008147;0.00007758;224507.00000000;17.86168308;1578136938524;1578223338524;1175164;1175314;151;YOYO;ETH
90;XRPBTC;-0.00000019;-0.723;0.00002620;0.00002627;0.00002609;4779.00000000;0.00002609;7833.00000000;0.00002610;650.00000000;0.00002628;0.00002637;0.00002604;16981613.00000000;444.92715100;1578137295971;1578223695971;63973417;64009183;35767;XRP;BTC
91;XRPETH;-0.00000835;-0.579;0.00143811;0.00144137;0.00143404;502.00000000;0.00143394;2060.00000000;0.00143584;2010.00000000;0.00144239;0.00144661;0.00142400;1093583.00000000;1572.69015970;1578137278137;1578223678137;15870217;15872430;2214;XRP;ETH
92;MODBTC;0.00000000;0;0;0.00004280;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1575982532666;1576068932666;-1;-1;0;MOD;BTC
93;MODETH;0.00000000;0;0;0.00116700;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1575982532670;1576068932670;-1;-1;0;MOD;ETH
94;ENJBTC;-0.00000025;-2.339;0.00001046;0.00001069;0.00001044;30648.00000000;0.00001044;51072.00000000;0.00001049;25518.00000000;0.00001069;0.00001075;0.00001012;9906161.00000000;103.62810973;1578137223262;1578223623262;13421921;13429820;7900;ENJ;BTC
95;ENJETH;-0.00001068;-1.818;0.00057482;0.00058823;0.00057664;13.00000000;0.00057337;36.00000000;0.00057646;12000.00000000;0.00058732;0.00058947;0.00056167;433384.00000000;249.11796110;1578137171035;1578223571035;3808213;3809087;875;ENJ;ETH
96;STORJBTC;-0.00000020;-1.461;0.00001377;0.00001369;0.00001349;1566.00000000;0.00001348;459.00000000;0.00001353;150.00000000;0.00001369;0.00001395;0.00001338;691693.00000000;9.52138497;1578137227667;1578223627667;5027269;5028230;962;STORJ;BTC
