date;symbol;quot;base;side;price;target;closed;id
2020-01-05 04:18:00+00:00;BTC_ETC;BTC;ETC;close;0.00063005;1.5;True;77037
2020-01-05 04:17:05+00:00;USDT_MATIC;USDT;MATIC;buy;0.01509;0.01531635;False;78939
2020-01-05 04:13:35+00:00;BTC_ATOM;BTC;ATOM;buy;0.0005807;0.00058942;False;78938
2020-01-05 04:11:31+00:00;BTC_DATA;BTC;DATA;close;2.35e-06;1.42;True;78792
2020-01-05 04:05:04+00:00;USDT_ZEC;USDT;ZEC;buy;30.08;30.5312;True;78930
2020-01-05 04:03:37+00:00;USDT_HOT;USDT;HOT;buy;0.000689;0.00069934;False;78935
2020-01-05 03:59:37+00:00;USDT_TOMO;USDT;TOMO;buy;0.4747;0.48182051;True;78934
2020-01-05 03:57:37+00:00;USDT_CHZ;USDT;CHZ;buy;0.007728;0.00784392;True;78933
2020-01-05 03:56:44+00:00;BUSD_LINK;BUSD;LINK;buy;1.8172;1.844458;False;78932
2020-01-05 03:53:07+00:00;BTC_AGI;BTC;AGI;close;2.51e-06;1.62;True;78609
2020-01-05 03:49:56+00:00;BNB_ZRX;BNB;ZRX;close;0.01375;1.5;True;78838
2020-01-05 03:45:35+00:00;ETH_DLT;ETH;DLT;buy;0.00035246;0.00035775;False;78928
2020-01-05 03:44:43+00:00;ETH_IOST;ETH;IOST;buy;3.647e-05;3.702e-05;False;78927
2020-01-05 03:43:34+00:00;BNB_HBAR;BNB;HBAR;buy;0.000814;0.00082622;True;78925
2020-01-05 03:42:34+00:00;BTC_NAV;BTC;NAV;buy;1.409e-05;1.431e-05;False;78923
2020-01-05 03:38:38+00:00;ETH_LEND;ETH;LEND;buy;0.00012499;0.00012687;True;78920
2020-01-05 03:38:35+00:00;USDT_FUN;USDT;FUN;buy;0.003249;0.00329774;False;78919
2020-01-05 03:31:09+00:00;BTC_IOST;BTC;IOST;buy;6.7e-07;6.9e-07;False;78915
2020-01-05 03:27:08+00:00;BNB_ETC;BNB;ETC;close;0.3512;1.5;True;78857
2020-01-05 03:22:09+00:00;USDT_XMR;USDT;XMR;buy;51.0;51.765;True;78914
2020-01-05 03:21:09+00:00;BTC_MATIC;BTC;MATIC;buy;2.03e-06;2.07e-06;False;78913
2020-01-05 03:20:32+00:00;BNB_ALGO;BNB;ALGO;close;0.01695;1.5;True;78745
2020-01-05 03:07:13+00:00;ETH_WABI;ETH;WABI;buy;0.00107743;0.0010936;True;78909
2020-01-05 03:04:39+00:00;USDT_ARPA;USDT;ARPA;buy;0.01025;0.01040376;True;78908
2020-01-05 03:04:39+00:00;USDT_ARPA;USDT;ARPA;buy;0.01025;0.01040376;True;78908
2020-01-05 02:58:04+00:00;ETH_ENG;ETH;ENG;buy;0.0028809;0.00292412;False;78907
2020-01-05 02:51:04+00:00;ETH_NEO;ETH;NEO;buy;0.067734;0.06875002;False;78906
2020-01-05 02:45:05+00:00;BTC_ALGO;BTC;ALGO;buy;3.167e-05;3.215e-05;False;78905
2020-01-05 02:24:34+00:00;BTC_NEO;BTC;NEO;buy;0.001233;0.0012515;False;78903
2020-01-05 02:23:34+00:00;BTC_TRX;BTC;TRX;buy;1.84e-06;1.87e-06;False;78902
2020-01-05 02:12:46+00:00;USDT_ZRX;USDT;ZRX;close;0.19;1.5;True;78701
2020-01-05 02:12:45+00:00;USDT_ZIL;USDT;ZIL;close;0.0046;1.5;True;78495
2020-01-05 02:12:43+00:00;USDT_ZEC;USDT;ZEC;close;28.67;1.5;True;78737
2020-01-05 02:12:43+00:00;USDT_ZEC;USDT;ZEC;close;29.3277;1.5;False;74045
2020-01-05 02:12:39+00:00;USDT_XLM;USDT;XLM;close;0.04486445;1.5;True;76815
2020-01-05 02:12:05+00:00;USDT_NULS;USDT;NULS;close;0.234;1.5;True;78245
2020-01-05 02:12:02+00:00;USDT_NEO;USDT;NEO;close;9.028;1.5;True;78235
2020-01-05 02:11:50+00:00;USDT_HOT;USDT;HOT;close;0.0006823;1.5;True;78624
2020-01-05 02:11:45+00:00;USDT_ETH;USDT;ETH;close;135.44;1.5;True;78494
2020-01-05 02:10:19+00:00;USDT_ARPA;USDT;ARPA;close;0.0102;1.5;True;78610
2020-01-05 02:09:45+00:00;USDC_ETH;USDC;ETH;close;132.75475;1.5;True;76645
2020-01-05 02:05:37+00:00;ETH_ZEC;ETH;ZEC;close;0.21657;1.5;True;78244
2020-01-05 02:05:36+00:00;ETH_ZEC;ETH;ZEC;close;0.21433418;1.5;True;76683
2020-01-05 02:05:36+00:00;ETH_ZEC;ETH;ZEC;close;0.21678081;1.5;False;75247
2020-01-05 02:05:35+00:00;ETH_ZEC;ETH;ZEC;close;0.22029996;1.5;False;73920
2020-01-05 01:56:41+00:00;ETH_WABI;ETH;WABI;close;0.00100583;1.5;True;78650
2020-01-05 01:56:04+00:00;ETH_VIB;ETH;VIB;close;0.00014686;1.5;True;77800
2020-01-05 01:56:03+00:00;ETH_VET;ETH;VET;close;4.118e-05;1.5;True;77671
2020-01-05 01:48:12+00:00;ETH_OST;ETH;OST;close;7.776e-05;1.51;True;78557
2020-01-05 01:46:52+00:00;ETH_OAX;ETH;OAX;close;0.0003993;1.5;True;78324
2020-01-05 01:45:53+00:00;ETH_NEO;ETH;NEO;close;0.067875;1.5;True;78751
2020-01-05 01:43:43+00:00;ETH_MFT;ETH;MFT;close;6.41e-06;1.4;True;77685
2020-01-05 01:39:00+00:00;ETH_KMD;ETH;KMD;close;0.004273;1.5;True;78789
2020-01-05 01:38:59+00:00;ETH_KMD;ETH;KMD;close;0.00419978;1.5;False;75607
2020-01-05 01:34:21+00:00;ETH_GVT;ETH;GVT;close;0.00738268;1.5;True;77752
2020-01-05 01:30:22+00:00;ETH_EDO;ETH;EDO;close;0.001484;1.5;True;78712
2020-01-05 01:29:27+00:00;ETH_DGD;ETH;DGD;close;0.134;1.5;True;78611
2020-01-05 01:28:42+00:00;ETH_DASH;ETH;DASH;close;0.33327;1.5;True;78636
2020-01-05 01:28:41+00:00;ETH_DASH;ETH;DASH;close;0.33398576;1.5;True;76285
2020-01-05 01:22:02+00:00;ETH_AE;ETH;AE;close;0.000986;1.5;True;78449
2020-01-05 01:20:34+00:00;BUSD_VET;BUSD;VET;close;0.0052899;1.5;True;77552
2020-01-05 01:16:48+00:00;BTC_ZEC;BTC;ZEC;close;0.003932;1.5;True;78550
2020-01-05 01:16:47+00:00;BTC_ZEC;BTC;ZEC;close;0.00386686;1.5;True;76591
2020-01-05 01:15:07+00:00;BTC_KMD;BTC;KMD;buy;7.75e-05;7.867e-05;False;78897
2020-01-05 01:01:48+00:00;USDT_DUSK;USDT;DUSK;buy;0.0394;0.039991;True;78896
2020-01-05 00:57:39+00:00;BTC_WABI;BTC;WABI;close;1.857e-05;1.54;True;78752
2020-01-05 00:56:55+00:00;BTC_VIBE;BTC;VIBE;close;1.77e-06;1.72;True;78282
2020-01-05 00:56:17+00:00;BTC_VIB;BTC;VIB;close;2.68e-06;1.85;True;77790
2020-01-05 00:55:13+00:00;BTC_VET;BTC;VET;close;7.6e-07;3.17;True;77680
2020-01-05 00:50:39+00:00;ETH_KNC;ETH;KNC;buy;0.0014843;0.00150657;False;78890
2020-01-05 00:49:39+00:00;USDT_ATOM;USDT;ATOM;buy;4.288;4.35232001;True;78889
2020-01-05 00:46:15+00:00;BTC_STEEM;BTC;STEEM;close;1.73e-05;1.53;True;78501
2020-01-05 00:43:04+00:00;ETH_XVG;ETH;XVG;buy;2.59e-05;2.629e-05;False;78872
2020-01-05 00:32:13+00:00;BTC_RDN;BTC;RDN;buy;1.609e-05;1.634e-05;False;78885
2020-01-05 00:29:13+00:00;ETH_TRX;ETH;TRX;buy;0.00010023;0.00010174;True;78884
2020-01-05 00:28:01+00:00;BTC_OAX;BTC;OAX;close;7.18e-06;1.56;True;78285
2020-01-05 00:25:28+00:00;BTC_NEO;BTC;NEO;close;0.001238;1.5;True;77740
2020-01-05 00:24:17+00:00;BTC_TOMO;BTC;TOMO;buy;6.421e-05;6.518e-05;True;78882
2020-01-05 00:24:13+00:00;BTC_NEBL;BTC;NEBL;close;5.574e-05;1.51;True;78680
2020-01-05 00:23:47+00:00;BTC_NAV;BTC;NAV;close;1.419e-05;1.51;True;78804
2020-01-05 00:23:46+00:00;BTC_NAV;BTC;NAV;close;1.365e-05;1.55;True;76759
2020-01-05 00:20:14+00:00;USDT_LINK;USDT;LINK;buy;1.8312;1.858668;False;78880
2020-01-05 00:17:11+00:00;ETH_BTS;ETH;BTS;buy;0.00011496;0.00011669;False;78877
