date;symbol_x;quot;base;side;price;target;closed;id;symbol_y;bidPrice;askPrice;profit_in_%;profit_in_$
2020-01-04 00:41:59+00:00;BTC_HOT;BTC;HOT;buy;1e-07;1.1e-07;False;78401;HOTBTC;9e-08;1e-07;-10.0;-1.0
2020-01-04 00:10:53+00:00;ETH_BQX;ETH;BQX;buy;0.0002096;0.00021275;False;78373;BQXETH;0.0001839;0.0001853;-12.261450381679381;-1.2261450381679382
2020-01-04 00:08:52+00:00;BTC_HC;BTC;HC;buy;0.0001495;0.00015175;False;78370;HCBTC;0.0001431;0.0001434;-4.2809364548494955;-0.42809364548494955
2019-12-31 09:39:14+00:00;BTC_HC;BTC;HC;buy;0.0001543;0.00015662;False;77086;HCBTC;0.0001431;0.0001434;-7.258587167854827;-0.7258587167854827
2020-01-04 00:04:42+00:00;BTC_OMG;BTC;OMG;buy;8.57e-05;8.699e-05;False;78364;OMGBTC;8.48e-05;8.51e-05;-1.0501750291715126;-0.10501750291715126
2019-12-31 06:37:41+00:00;BTC_OMG;BTC;OMG;buy;8.57e-05;8.699e-05;False;77028;OMGBTC;8.48e-05;8.51e-05;-1.0501750291715126;-0.10501750291715126
2020-01-04 00:03:44+00:00;BTC_SC;BTC;SC;buy;1.9e-07;2e-07;False;78363;SCBTC;1.8e-07;1.9e-07;-5.26315789473685;-0.526315789473685
2019-12-31 01:36:59+00:00;BTC_SC;BTC;SC;buy;1.9e-07;2e-07;False;76879;SCBTC;1.8e-07;1.9e-07;-5.26315789473685;-0.526315789473685
2020-01-03 21:43:35+00:00;ETH_BCPT;ETH;BCPT;buy;0.00016311;0.00016556;False;78344;BCPTETH;0.00015748;0.00015987;-3.4516583900435336;-0.3451658390043534
2020-01-03 21:28:05+00:00;BNB_ONT;BNB;ONT;buy;0.0388;0.03938201;False;78337;ONTBNB;0.03814;0.03828;-1.7010309278350633;-0.17010309278350633
2020-01-03 21:25:05+00:00;USDT_NPXS;USDT;NPXS;buy;0.0001246;0.00012647;False;78335;NPXSUSDT;0.0001212;0.0001213;-2.7287319422150773;-0.27287319422150774
2019-12-30 05:55:37+00:00;USDT_NPXS;USDT;NPXS;buy;0.00012790000000000002;0.00012982;False;76606;NPXSUSDT;0.0001212;0.0001213;-5.238467552775617;-0.5238467552775617
2020-01-03 20:18:04+00:00;BTC_QKC;BTC;QKC;buy;4e-07;4.1e-07;False;78332;QKCBTC;3.8e-07;3.9e-07;-5.0;-0.5
2020-01-03 19:03:09+00:00;BTC_QTUM;BTC;QTUM;buy;0.0002221;0.00022544;False;78331;QTUMBTC;0.0002193;0.0002198;-1.2606933813597578;-0.1260693381359758
2019-12-30 04:04:10+00:00;BTC_QTUM;BTC;QTUM;buy;0.0002254;0.00022879;False;76552;QTUMBTC;0.0002193;0.0002198;-2.7062999112688573;-0.27062999112688574
